"","1 Y 2016-06-27 to 2019-06-28","1 Y 2016-07-27 to 2019-07-28","1 Y 2016-08-29 to 2019-08-28","1 Y 2016-09-27 to 2019-09-28","1 Y 2016-10-27 to 2019-10-28","1 Y 2016-11-28 to 2019-11-28","1 Y 2016-12-27 to 2019-12-28","1 Y 2017-01-27 to 2020-01-28","1 Y 2017-02-27 to 2020-02-28","1 Y 2017-03-27 to 2020-03-28","1 Y 2017-04-27 to 2020-04-28","1 Y 2017-05-30 to 2020-05-28","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2016-06-27 to 2019-06-28","2 Y 2016-07-27 to 2019-07-28","2 Y 2016-08-29 to 2019-08-28","2 Y 2016-09-27 to 2019-09-28","2 Y 2016-10-27 to 2019-10-28","2 Y 2016-11-28 to 2019-11-28","2 Y 2016-12-27 to 2019-12-28","2 Y 2017-01-27 to 2020-01-28","2 Y 2017-02-27 to 2020-02-28","2 Y 2017-03-27 to 2020-03-28","2 Y 2017-04-27 to 2020-04-28","2 Y 2017-05-30 to 2020-05-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2016-06-27 to 2019-06-28","3 Y 2016-07-27 to 2019-07-28","3 Y 2016-08-29 to 2019-08-28","3 Y 2016-09-27 to 2019-09-28","3 Y 2016-10-27 to 2019-10-28","3 Y 2016-11-28 to 2019-11-28","3 Y 2016-12-27 to 2019-12-28","3 Y 2017-01-27 to 2020-01-28","3 Y 2017-02-27 to 2020-02-28","3 Y 2017-03-27 to 2020-03-28","3 Y 2017-04-27 to 2020-04-28","3 Y 2017-05-30 to 2020-05-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","10.915","12.154","5.707","1.95","26.287","22.091","34.758","23.438","1.293","-9.436","-3.405","16.001","8.789","16.265","34.994","25.72","25.07","65.001","86.322","34.424","82.491","89.101","79.531","63.39","73.151","65.839","55.742","45.54","56.292","40.572","13.674","16.599","16.069","13.585","12.057","12.268","9.586","6.533","3.329","-2.284","4.693","7.664","6.068","12.011","14.332","10.889","23.685","45.451","64.077","33.337","49.358","38.037","36.615","39.055","38.345","39.851","46.489","40.982","44.909","40.556","15.658","17.4","17.226","17.264","20.094","17.393","14.556","13.783","11.08","6.274","10.681","13.792","10.926","15.544","18.547","14.215","15.822","30.856","38.329","20.126","34.805","28.405","28.785","25.574","26.619","29.345","30.17","26.451","36.128","33.381"
"B Annualized Returns","8.3","6.64","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","9.786","10.507","8.698","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703","13.05","11.79","9.83","11.098","12.646","12.736","12.61","12.591","7.718","2.521","6.289","7.891","7.541","9.184","12.767","9.982","8.34","11.467","11.792","9.897","11.569","15.01","16.481","16.051","16.431","16.246","15.886","14.297","20.283","19.652"
"AR DIFF(P-B)","2.615","5.514","6.038","0.31","11.168","4.513","4.576","-0.481000000000002","-4.803","0.295","-0.699","7.136","5.913","9.728","15.045","13.09","17.36","49.676","70.316","18.722","54.547","37.982","33.439","24.628","32.493","29.107","26.332","15.673","15.773","14.068","3.888","6.092","7.371","4.893","3.553","2.165","-0.312999999999999","-0.627999999999999","-1.006","-1.057","0.701","1.534","0.492999999999999","4.839","4.613","3.653","12.4","30.298","41.526","13.562","32.532","19.009","17.393","16.147","17.607","19.157","21.531","20.028","21.883","19.853","2.608","5.61","7.396","6.166","7.448","4.657","1.946","1.192","3.362","3.753","4.392","5.901","3.385","6.36","5.78","4.233","7.482","19.389","26.537","10.229","23.236","13.395","12.304","9.523","10.188","13.099","14.284","12.154","15.845","13.729"
"P Volatility","19.73","22.82","23.49","24.72","21.43","22.03","20.38","18.29","18.68","19.85","25.53","29.97","31.26","33.01","30.38","32.53","31.13","31.58","37.06","31.49","38.15","23.37","21.77","19.34","19.65","20.69","19.99","19.11","21.12","19.21","14.66","16.5","17.33","18.29","19.13","19.01","20.75","20.56","21.62","21.54","24.49","27.61","28.89","29.86","28.26","29.64","26.1","25.74","27.93","23.41","28.43","25.54","27.01","25.01","25.19","25.24","24.89","24.66","24.34","24.63","12.65","14.02","14.65","15.44","15.95","15.64","17.14","17.3","18.26","18.29","20.79","23.2","24.08","24.75","23.62","24.72","23.51","22.89","25.73","22.24","26.33","24.13","25.03","24.16","24.73","24.48","24.55","24.18","21.95","22.38"
"B Volatility","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","1.08","3.17","4.02","5.11","3.59","4.18","6.81","6.34","6.69","4.11","5.38","6.43","8.34","10.06","7.07","8.45","6.35","6.63","9.98","4.36","13.31","5.27","6.81","4.27","4.4","5.74","5.92","6.9","7.71","8.22","0.620000000000001","1.77","2.61","3.46","4.32","4.25","5.86","6.03","7.49","6.09","6.37","7.34","8.41","9.48","7.64","8.53","5.5","4.96","7.44","3.38","8.34","5.43","6.88","5.66","6.18","6.23","6.07","5.83","4.89","4.85","0.81","1.75","2.4","3.1","3.72","3.48","4.91","5.03","6.07","4.93","5.35","6.15","6.88","7.56","6.21","6.96","5.52","4.82","6.73","3.37","7.64","5.56","6.38","5.38","5.95","5.74","5.83","5.44","3.51","3.67"
"P Tracking Error","6.13","6.49","6.36","7.6","4.98","5.43","7.74","7.3","7.85","6.51","6.63","8.29","10.23","11.5","8.51","9.53","7.76","11.21","14.05","7.52","15.43","8.87","12.78","11.82","11.17","13.18","13.71","13.4","13.56","13.39","5.38","5.48","5.33","6.06","6.4","6.21","7.19","7.59","9.01","8.03","7.71","9.2","10.07","10.81","9.04","9.64","7.01","9.47","12.06","6.12","12.91","9.08","11.64","10.68","10.58","11.96","12.26","11.81","11.38","11.07","5.42","5.01","5","5.62","5.83","5.47","6.26","6.56","7.81","7.04","7.14","8.28","8.65","9.18","7.72","8.2","7.25","9.04","10.96","6.15","11.79","8.99","10.63","9.7","9.79","10.55","10.77","10.51","9.97","9.8"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.43","0.85","0.95","0.04","2.24","0.83","0.59","-0.07","-0.61","0.05","-0.11","0.86","0.58","0.85","1.77","1.37","2.24","4.43","5","2.49","3.54","4.28","2.62","2.08","2.91","2.21","1.92","1.17","1.16","1.05","0.72","1.11","1.38","0.81","0.56","0.35","-0.04","-0.08","-0.11","-0.13","0.09","0.17","0.05","0.45","0.51","0.38","1.77","3.2","3.44","2.22","2.52","2.09","1.49","1.51","1.66","1.6","1.76","1.7","1.92","1.79","0.48","1.12","1.48","1.1","1.28","0.85","0.31","0.18","0.43","0.53","0.62","0.71","0.39","0.69","0.75","0.52","1.03","2.14","2.42","1.66","1.97","1.49","1.16","0.98","1.04","1.24","1.33","1.16","1.59","1.4"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.38","0.48","0.39","0.2","0.46","0.16","-0.66","-0.71","-1.04","0.28","0.08","0.25","0.24","0.7","0.78","0.51","1.14","2.77","3.53","1.39","2.47","2.15","1.55","1.45","1.24","1.65","1.74","0.86","0.04","0.25","0.42","0.46","0.41","0.36","0.09","0.1","-0.26","-0.2","-0.36","-0.06","0.06","-0.01","-0.17","0.31","0.23","0.04","0.63","1.73","1.95","0.8","1.91","1.35","1.07","0.84","0.68","1.03","1.28","1.2","1.11","1.17","0.27","0.37","0.43","0.39","0.3","0.16","-0.16","-0.2","-0.05","0.24","0.26","0.27","0.03","0.31","0.19","0.02","0.37","1.2","1.5","0.71","1.46","0.96","0.72","0.5","0.34","0.77","0.87","0.77","0.83","0.84"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.01","1.12","1.17","1.22","1.18","1.21","1.47","1.49","1.5","1.21","1.25","1.25","1.33","1.41","1.28","1.33","1.24","1.2","1.3","1.14","1.49","1.21","1.19","1.02","1.06","1.07","1.03","1.12","1.23","1.29","0.97","1.06","1.13","1.18","1.24","1.24","1.35","1.36","1.47","1.34","1.32","1.33","1.37","1.43","1.34","1.38","1.24","1.16","1.26","1.14","1.29","1.2","1.23","1.18","1.22","1.18","1.16","1.16","1.11","1.12","0.97","1.07","1.13","1.18","1.24","1.23","1.35","1.35","1.42","1.3","1.3","1.31","1.35","1.39","1.32","1.36","1.27","1.18","1.25","1.14","1.29","1.23","1.24","1.19","1.23","1.19","1.19","1.18","1.06","1.08"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
