"","1 Y 2015-09-25 to 2016-09-26","1 Y 2015-10-26 to 2016-10-26","1 Y 2015-11-25 to 2016-11-26","1 Y 2015-12-28 to 2016-12-26","1 Y 2016-01-25 to 2017-01-26","1 Y 2016-02-25 to 2017-02-26","1 Y 2016-03-28 to 2017-03-26","1 Y 2016-04-25 to 2017-04-26","1 Y 2016-05-25 to 2017-05-26","1 Y 2016-06-27 to 2017-06-26","1 Y 2016-07-25 to 2017-07-26","1 Y 2016-08-25 to 2017-08-26","1 Y 2016-09-26 to 2017-09-26","1 Y 2016-10-25 to 2017-10-26","1 Y 2016-11-25 to 2017-11-26","1 Y 2016-12-27 to 2017-12-26","1 Y 2017-01-25 to 2018-01-26","1 Y 2017-02-27 to 2018-02-26","1 Y 2017-03-27 to 2018-03-26","1 Y 2017-04-25 to 2018-04-26","1 Y 2017-05-25 to 2018-05-26","1 Y 2017-06-26 to 2018-06-26","1 Y 2017-07-25 to 2018-07-26","1 Y 2017-08-25 to 2018-08-26","1 Y 2017-09-25 to 2018-09-26","1 Y 2017-10-25 to 2018-10-26","1 Y 2017-11-27 to 2018-11-26","1 Y 2017-12-26 to 2018-12-26","1 Y 2018-01-25 to 2019-01-26","1 Y 2018-02-26 to 2019-02-26","1 Y 2018-03-26 to 2019-03-26","1 Y 2018-04-25 to 2019-04-26","1 Y 2018-05-25 to 2019-05-26","1 Y 2018-06-25 to 2019-06-26","1 Y 2018-07-25 to 2019-07-26","1 Y 2018-08-27 to 2019-08-26","1 Y 2018-09-25 to 2019-09-26","1 Y 2018-10-25 to 2019-10-26","1 Y 2018-11-26 to 2019-11-26","1 Y 2018-12-26 to 2019-12-26","1 Y 2019-01-25 to 2020-01-26","1 Y 2019-02-25 to 2020-02-26","1 Y 2019-03-25 to 2020-03-26","1 Y 2019-04-25 to 2020-04-26","1 Y 2019-05-28 to 2020-05-26","1 Y 2019-06-25 to 2020-06-26","1 Y 2019-07-25 to 2020-07-26","1 Y 2019-08-26 to 2020-08-26","1 Y 2019-09-25 to 2020-09-26","1 Y 2019-10-25 to 2020-10-26","1 Y 2019-11-25 to 2020-11-26","1 Y 2019-12-26 to 2020-12-26","1 Y 2020-01-27 to 2021-01-26","1 Y 2020-02-25 to 2021-02-26","1 Y 2020-03-25 to 2021-03-26","1 Y 2020-04-27 to 2021-04-26","1 Y 2020-05-26 to 2021-05-26","1 Y 2020-06-25 to 2021-06-26","1 Y 2020-07-27 to 2021-07-26","1 Y 2020-08-25 to 2021-08-26","1 Y 2020-09-25 to 2021-09-26","1 Y 2020-10-26 to 2021-10-26","1 Y 2020-11-25 to 2021-11-26"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.591","6.403","11.774","17.224","36.375","32.583","19.731","18.559","20.641","27.819","20.718","15.793","19.376","24.421","22.162","22.02","24.755","17.199","14.873","15.299","20.685","22.257","22.379","25.056","19.225","4.608","1.751","-9.256","-3.171","6.072","8.811","9.924","1.275","4.98","5.601","-1.288","3.639","18.402","15.667","28.384","23.581","8.911","-9.741","-7.829","1.977","-1.396","2.915","17.962","7.358","13.394","20.264","19.297","24.289","38.419","82.735","73.495","61.251","63.46","52.789","48.814","54.687","57.269","33.643"
"B Annualized Returns","15.933","3.475","6.008","10.087","20.736","21.179","15.391","14.409","15.524","22.024","14.233","12.303","16.383","19.317","18.429","18.655","23.533","14.312","13.092","10.499","12.985","11.431","14.894","17.14","16.778","5.804","1.586","-8.077","-6.954","0.596","5.274","10.865","5.006","7.372","5.537","0.917","2.377","11.295","17.264","30.938","26.185","11.877","-12.166","-4.399","5.304","5.834","7.746","19.637","8.768","13.825","16.012","13.974","18.916","22.877","57.925","44.376","40.118","38.477","35.384","30.566","33.265","34.379","30.176"
"AR DIFF(P-B)","2.658","2.928","5.766","7.137","15.639","11.404","4.34","4.15","5.117","5.795","6.485","3.49","2.993","5.104","3.733","3.365","1.222","2.887","1.781","4.8","7.7","10.826","7.485","7.916","2.447","-1.196","0.165","-1.179","3.783","5.476","3.537","-0.941000000000001","-3.731","-2.392","0.0640000000000001","-2.205","1.262","7.107","-1.597","-2.554","-2.604","-2.966","2.425","-3.43","-3.327","-7.23","-4.831","-1.675","-1.41","-0.430999999999999","4.252","5.323","5.373","15.542","24.81","29.119","21.133","24.983","17.405","18.248","21.422","22.89","3.467"
"P Volatility","13.62","11.9","12.85","13.44","10.6","10.02","9.67","9.69","10.02","9.78","9.29","9.58","9.48","8.6","6.36","6.23","6.21","6.44","8.68","8.84","8.94","9.28","9.52","9.36","9.06","8.97","12","11.26","15.14","17.96","19.24","19.37","20.55","21.76","22.56","21.92","22.34","19.79","20.55","15.48","13.66","13.28","15.85","26.98","33.11","35.53","36.02","37.04","35.06","36.15","33.97","37.86","39.6","37.08","25.44","20.58","19.29","18.05","17.45","19.8","18.92","19.44","8.95"
"B Volatility","15.15","12.46","12.53","12.87","7.89","7.87","6","6.09","6.1","5.98","5.52","5.51","5.14","4.31","3.95","4.11","4.11","5.1","7.64","9.44","9.48","9.54","9.48","9.84","10.02","9.95","12.82","12.77","14.74","17.42","16.98","16.95","17.4","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65"
"V DIFF(P-B)","-1.53","-0.56","0.32","0.57","2.71","2.15","3.67","3.6","3.92","3.8","3.77","4.07","4.34","4.29","2.41","2.12","2.1","1.34","1.04","-0.6","-0.540000000000001","-0.26","0.0399999999999991","-0.48","-0.959999999999999","-0.979999999999999","-0.82","-1.51","0.4","0.539999999999999","2.26","2.42","3.15","3.18","3.68","3.18","3.46","2.74","3.46","2.92","3.47","3.19","0.66","6.83","9.16","11.74","12.2","13.04","10.07","10.48","8.29","10.64","12.33","12.74","8.78","7.43","5.79","4.11","3.66","7.34","8.62","7.18","-1.7"
"P Tracking Error","5.05","4.94","5.29","4.69","5.52","4.96","4.9","5.04","5.25","5.04","4.87","5.36","5.03","5.01","3.96","3.52","3.4","2.88","2.17","4.94","5.67","6.17","6.25","6.55","6.57","6.22","5.46","5.8","6.6","5.72","4.86","4.31","5.53","5.12","5.19","5.64","5.92","5.34","6.03","5.74","6.01","6.29","6.34","10.05","12.05","15","15.26","15.71","13.9","14.44","12.66","14.49","15.32","14.97","12.61","12.23","11.88","10.63","10.18","12.43","13.73","14.67","9.72"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.53","0.59","1.09","1.52","2.83","2.3","0.89","0.82","0.97","1.15","1.33","0.65","0.6","1.02","0.94","0.96","0.36","1","0.82","0.97","1.36","1.75","1.2","1.21","0.37","-0.19","0.03","-0.2","0.57","0.96","0.73","-0.22","-0.67","-0.47","0.01","-0.39","0.21","1.33","-0.26","-0.44","-0.43","-0.47","0.38","-0.34","-0.28","-0.48","-0.32","-0.11","-0.1","-0.03","0.34","0.37","0.35","1.04","1.97","2.38","1.78","2.35","1.71","1.47","1.56","1.56","0.36"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.42","0.42","0.16","0.75","0.44","0.38","0.01","-0.13","-0.23","-0.07","-0.01","-0.33","-0.74","-0.79","-0.19","-0.23","-0.44","-0.33","-0.06","0.61","0.6","0.89","0.92","0.73","0.62","0.67","0.19","0.26","0.18","0.41","0.09","0.04","-0.44","-0.28","0.03","-0.06","0.17","-0.09","-0.12","-0.4","-0.39","-0.78","-0.11","-0.42","-0.63","-0.32","-0.33","-0.46","-0.55","-0.42","-0.16","0.12","0.31","-0.4","1.26","1.43","1.03","1.26","1.27","0.82","0.46","1.52","1.5"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.85","0.88","0.94","0.98","1.16","1.11","1.46","1.42","1.48","1.48","1.53","1.54","1.72","1.82","1.29","1.28","1.3","1.14","1.11","0.8","0.77","0.76","0.79","0.73","0.69","0.71","0.85","0.79","0.93","0.98","1.1","1.12","1.15","1.15","1.18","1.14","1.15","1.12","1.16","1.16","1.22","1.17","0.96","1.27","1.33","1.42","1.44","1.48","1.33","1.33","1.25","1.33","1.4","1.47","1.38","1.29","1.13","1.05","1.03","1.26","1.3","1.04","0.44"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
