"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.839,9.428,6,-13.519,-8.427,-2.222,0.404,-0.936,0.051,8.149,8.078,14.481,19.042,21.777,19.81,17.257,19.192,19.767,25.759,34.797,36.828,37.817,33.259,29.411,30.161,26.811,31.019,65.652,54.718,44.588,37.926,40.656,35.239,37.566,38.045,23.424,19.05,14.101,12.646,12.867,15.132,14.14,18.03,15.261,16.347,15.071,9.725,18.572,18.298,18.77,25.481,18.58,20.313,24.405,29.084,21.383
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",1.438,-0.478,-1.456,-7.646,-3.293,-0.892,-0.867,-1.412,-1.035,0.996999999999999,-0.615,3.342,3.121,4.207,1.69,4.485,6.106,5.896,8.892,13.401,10.778,13.228,11.476,11.5,9.399,6.759,11.576,24.782,21.641,16.673,16.553,16.282,11.069,16.273,15.12,5.984,7.426,4.791,4.423,2.676,2.009,4.583,6.473,5.164,10.041,10.26,6.135,7.782,8.738,6.825,7.075,7.517,5.179,7.686,6.342,5.346
"P Volatility",14.3,14.74,15.67,15.09,31.32,30.61,30.09,29.48,27.46,28.19,27.08,29.88,28.32,27.57,28.68,28.21,29.15,29.09,28.85,29.43,30.64,29.74,29.98,31.34,31.44,31.4,20.97,19.4,17.99,20.01,20.53,18.65,18.41,21.58,17.65,15.67,16.66,14.82,14.98,15.33,15.29,14.78,15.24,15.34,15.04,15.18,14.35,15.02,15.73,15.5,15.07,14.99,14.23,13.68,12.39,12.49
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",1.07,2.15,3.1,2.56,7.14,6.41,5.69,4.46,2.85,3.91,2.86,4.48,2.47,1.67,2.45,1.78,2.73,2.62,2.88,3.53,4.23,3.36,3.6,4.52,4.69,4.86,3.43,2.61,1.17,3.23,3.7,1.33,1.27,4.23,1.24,-0.130000000000001,0.69,-0.289999999999999,0.0800000000000001,0.25,0.0799999999999983,-0.530000000000001,-0.0700000000000003,1.05,0.649999999999999,0.799999999999999,0.35,0.69,0.450000000000001,1.08,1.42,1.5,1.15,1.25,-0.0499999999999989,0
"P Tracking Error",7.82,7.37,7.24,6.43,9.49,9.08,8.44,8.03,7.26,7.21,7.64,8.76,8.05,7.51,8.46,8.81,9.15,9.59,10.12,10.31,10.47,10.7,10.19,10.76,10.83,10.84,10.47,11.08,10.55,10.92,11.39,8.26,7.61,9.48,7.51,7.67,7.99,7.6,6.12,6.52,6.57,5.85,6.46,5.75,6.26,6,6.05,6.59,6.38,6.38,6.24,6.14,6.06,6.46,5.61,5.6
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.18,-0.06,-0.2,-1.19,-0.35,-0.1,-0.1,-0.18,-0.14,0.14,-0.08,0.38,0.39,0.56,0.2,0.51,0.67,0.61,0.88,1.3,1.03,1.24,1.13,1.07,0.87,0.62,1.11,2.24,2.05,1.53,1.45,1.97,1.45,1.72,2.01,0.78,0.93,0.63,0.72,0.41,0.31,0.78,1,0.9,1.6,1.71,1.01,1.18,1.37,1.07,1.13,1.22,0.85,1.19,1.13,0.95
