"","2013-06-11_to_2015-06-12_ALLPortfolio_2QRank","2013-07-11_to_2015-07-12_ALLPortfolio_2QRank","2013-08-12_to_2015-08-12_ALLPortfolio_2QRank","2013-09-11_to_2015-09-12_ALLPortfolio_2QRank","2013-10-11_to_2015-10-12_ALLPortfolio_2QRank","2013-11-11_to_2015-11-12_ALLPortfolio_2QRank","2013-12-11_to_2015-12-12_ALLPortfolio_2QRank","2014-01-13_to_2016-01-12_ALLPortfolio_2QRank","2014-02-11_to_2016-02-12_ALLPortfolio_2QRank","2014-03-11_to_2016-03-12_ALLPortfolio_2QRank","2014-04-11_to_2016-04-12_ALLPortfolio_2QRank","2014-05-12_to_2016-05-12_ALLPortfolio_2QRank","2014-06-11_to_2016-06-12_ALLPortfolio_2QRank","2014-07-11_to_2016-07-12_ALLPortfolio_2QRank","2014-08-11_to_2016-08-12_ALLPortfolio_2QRank","2014-09-11_to_2016-09-12_ALLPortfolio_2QRank","2014-10-13_to_2016-10-12_ALLPortfolio_2QRank","2014-11-11_to_2016-11-12_ALLPortfolio_2QRank","2014-12-11_to_2016-12-12_ALLPortfolio_2QRank","2015-01-12_to_2017-01-12_ALLPortfolio_2QRank","2015-02-11_to_2017-02-12_ALLPortfolio_2QRank","2015-03-11_to_2017-03-12_ALLPortfolio_2QRank","2015-04-13_to_2017-04-12_ALLPortfolio_2QRank","2015-05-11_to_2017-05-12_ALLPortfolio_2QRank","2015-06-11_to_2017-06-12_ALLPortfolio_2QRank","2015-07-13_to_2017-07-12_ALLPortfolio_2QRank","2015-08-11_to_2017-08-12_ALLPortfolio_2QRank","2015-09-11_to_2017-09-12_ALLPortfolio_2QRank","2015-10-12_to_2017-10-12_ALLPortfolio_2QRank","2015-11-11_to_2017-11-12_ALLPortfolio_2QRank","2015-12-11_to_2017-12-12_ALLPortfolio_2QRank","2016-01-11_to_2018-01-12_ALLPortfolio_2QRank","2016-02-11_to_2018-02-12_ALLPortfolio_2QRank","2016-03-11_to_2018-03-12_ALLPortfolio_2QRank","2016-04-11_to_2018-04-12_ALLPortfolio_2QRank","2016-05-11_to_2018-05-12_ALLPortfolio_2QRank","2016-06-13_to_2018-06-12_ALLPortfolio_2QRank","2016-07-11_to_2018-07-12_ALLPortfolio_2QRank","2016-08-11_to_2018-08-12_ALLPortfolio_2QRank","2016-09-12_to_2018-09-12_ALLPortfolio_2QRank","2016-10-11_to_2018-10-12_ALLPortfolio_2QRank","2016-11-11_to_2018-11-12_ALLPortfolio_2QRank","2016-12-12_to_2018-12-12_ALLPortfolio_2QRank","2017-01-11_to_2019-01-12_ALLPortfolio_2QRank","2017-02-13_to_2019-02-12_ALLPortfolio_2QRank","2017-03-13_to_2019-03-12_ALLPortfolio_2QRank","2017-04-11_to_2019-04-12_ALLPortfolio_2QRank","2017-05-11_to_2019-05-12_ALLPortfolio_2QRank","2017-06-12_to_2019-06-12_ALLPortfolio_2QRank","2017-07-11_to_2019-07-12_ALLPortfolio_2QRank","2017-08-11_to_2019-08-12_ALLPortfolio_2QRank","2017-09-11_to_2019-09-12_ALLPortfolio_2QRank","2017-10-11_to_2019-10-12_ALLPortfolio_2QRank","2017-11-13_to_2019-11-12_ALLPortfolio_2QRank","2017-12-11_to_2019-12-12_ALLPortfolio_2QRank","2018-01-11_to_2020-01-12_ALLPortfolio_2QRank","2018-02-12_to_2020-02-12_ALLPortfolio_2QRank","2018-03-12_to_2020-03-12_ALLPortfolio_2QRank","2018-04-11_to_2020-04-12_ALLPortfolio_2QRank","2018-05-11_to_2020-05-12_ALLPortfolio_2QRank","2018-06-11_to_2020-06-12_ALLPortfolio_2QRank","2018-07-11_to_2020-07-12_ALLPortfolio_2QRank","2018-08-13_to_2020-08-12_ALLPortfolio_2QRank","2018-09-11_to_2020-09-12_ALLPortfolio_2QRank","2018-10-11_to_2020-10-12_ALLPortfolio_2QRank","2018-11-12_to_2020-11-12_ALLPortfolio_2QRank","2018-12-11_to_2020-12-12_ALLPortfolio_2QRank","2019-01-11_to_2021-01-12_ALLPortfolio_2QRank","2019-02-11_to_2021-02-12_ALLPortfolio_2QRank","2019-03-11_to_2021-03-12_ALLPortfolio_2QRank","2019-04-11_to_2021-04-12_ALLPortfolio_2QRank","2019-05-13_to_2021-05-12_ALLPortfolio_2QRank","2019-06-11_to_2021-06-12_ALLPortfolio_2QRank","2019-07-11_to_2021-07-12_ALLPortfolio_2QRank","2019-08-12_to_2021-08-12_ALLPortfolio_2QRank","2019-09-11_to_2021-09-12_ALLPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","22.229","18.608","16.715","11.593","13.386","13.584","14.074","9.003","5.234","6.736","11.264","10.739","10.623","10.534","12.34","8.422","12.855","5.765","11.225","11.098","7.144","11.597","9.503","10.093","10.97","10.27","9.778","14.476","20.721","18.939","20.351","27.832","28.894","24.766","22.538","20.671","22.431","21.143","17.262","18.807","16.06","13.582","9.953","7.421","8.853","8.826","12.113","10.855","10.114","11.766","9.794","10.531","7.703","9.567","7.701","7.259","14.225","-5.379","4.048","2.94","6.508","8.454","10.761","11.243","18.238","12.363","17.108","28.485","22.756","21.418","20.019","29.742","30.959","29.496","32.851","29.329"
"B Annualized Returns","12.518","9.653","10.182","6.746","8.184","8.235","7.314","3.001","1.554","3.621","5.718","4.406","4.118","3.851","6.054","4.263","6.268","3.006","4.723","6.055","5.695","8.343","6.657","6.882","7.525","7.488","8.48","13.075","12.503","11.014","14.092","19.494","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.117","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.854","20.593","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","9.711","8.955","6.533","4.847","5.202","5.349","6.76","6.002","3.68","3.115","5.546","6.333","6.505","6.683","6.286","4.159","6.587","2.759","6.502","5.043","1.449","3.254","2.846","3.211","3.445","2.782","1.298","1.401","8.218","7.925","6.259","8.338","11.598","8.477","9.393","6.305","7.081","7.477","2.881","3.127","2.945","-0.889999999999999","1.585","0.568000000000001","1.193","0.806000000000001","1.489","1.173","1.038","0.353","0.749000000000001","0.587","0.282","-0.311999999999999","-1.419","-2.144","0.943","-5.835","-0.616","-2.985","0.391","-1.101","-0.0810000000000013","1.124","3.848","-4.003","-2.69","5.359","-0.097999999999999","0.824999999999999","-1.142","6.739","7.962","7.049","6.37","3.801"
"P Volatility","11.15","10.15","8.87","10.56","10.9","11.72","11.59","11.49","12.19","12.65","13.14","13.16","12.87","14.11","13.67","13.14","13.6","12.79","13.05","12.72","12.65","12.79","12.18","11.58","11.66","11.84","9.9","9.93","8.71","8.92","9.05","7.4","8.47","9.11","9.5","9.72","9.57","9.59","8.44","9.18","8.52","9.14","9.87","12.18","12.59","12.45","13.02","13.32","14.15","14.43","14.45","14.82","14.86","14.27","14.35","13.04","12.75","14.64","18.18","20.82","20.68","20.82","21.32","24.24","24.37","22.1","23.13","24.38","23.15","22.78","21.77","24.52","25.22","24.69","25.53","24.98"
"B Volatility","8.74","8.81","8.45","9.96","9.85","11.95","11.94","11.67","12.79","12.78","13.49","13.46","13.43","13.41","13.42","13.4","13.44","13.23","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","2.41","1.34","0.42","0.6","1.05","-0.229999999999999","-0.35","-0.18","-0.6","-0.129999999999999","-0.35","-0.300000000000001","-0.56","0.699999999999999","0.25","-0.26","0.16","-0.440000000000001","-0.299999999999999","-0.399999999999999","-0.0899999999999999","0.0199999999999996","-0.57","-1.15","-0.83","-0.550000000000001","-1.31","-0.859999999999999","0.23","0.43","0.690000000000001","1.68","2.15","2.53","2.02","2.22","2.04","2.25","0.819999999999999","1.53","1.01","-0.299999999999999","0.52","0.74","0.5","0.27","0.83","0.76","0.76","0.719999999999999","0.719999999999999","0.950000000000001","1.03","0.449999999999999","0.34","-0.65","-0.5","-0.279999999999999","1.09","1.55","1.31","1.51","1.96","3.73","4.22","1.82","3.51","5.08","3.86","3.44","2.53","5.78","6.51","5.95","7","6.45"
"P Tracking Error","6.91","6.82","5.91","5.47","6.13","6.81","6.89","6.37","6.58","6.19","5.96","6.44","6.36","6.53","6.02","5.57","5.15","5.57","5.42","5.19","5.32","5.62","5.82","5.73","5.96","5.88","5.2","3.96","4.76","4.12","4.27","4.38","4.6","4.28","4.58","4.92","4.56","4.89","4.18","4.32","3.76","3.73","3.82","3.82","3.22","3.55","3.85","4.12","4.24","4.34","4.23","3.94","4.55","4.8","4.84","4.52","4.25","4.63","5.4","5.44","5.85","6.11","6.38","7.85","7.69","7.2","8.39","8.64","7.94","8.23","7.77","10.22","10.71","9.94","10.85","10.56"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.41","1.31","1.11","0.89","0.85","0.79","0.98","0.94","0.56","0.5","0.93","0.98","1.02","1.02","1.04","0.75","1.28","0.5","1.2","0.97","0.27","0.58","0.49","0.56","0.58","0.47","0.25","0.35","1.73","1.92","1.47","1.9","2.52","1.98","2.05","1.28","1.55","1.53","0.69","0.72","0.78","-0.24","0.41","0.15","0.37","0.23","0.39","0.28","0.24","0.08","0.18","0.15","0.06","-0.06","-0.29","-0.47","0.22","-1.26","-0.11","-0.55","0.07","-0.18","-0.01","0.14","0.5","-0.56","-0.32","0.62","-0.01","0.1","-0.15","0.66","0.74","0.71","0.59","0.36"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.69","0.71","0.65","0.2","0.5","0.6","0.69","0.53","0.38","0.39","0.55","0.55","0.54","0.56","0.51","0.55","0.53","0.17","0.46","0.41","0.15","0.46","0.33","0.36","0.37","0.3","0.51","0.25","0.7","0.57","0.54","0.44","0.39","0.14","0.54","0.32","0.39","0.4","0.29","0.03","0.2","0.18","0.22","-0.01","0.01","0.14","0.08","-0.03","0.08","0.04","0.04","0.06","-0.06","0.03","-0.1","-0.05","0.1","-0.1","-0.21","-0.38","0.02","-0.01","0","0.09","0.11","-0.39","-0.29","0","-0.21","-0.09","-0.02","0.39","0.23","0.24","-0.06","-0.08"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1","0.86","0.81","0.91","0.92","0.82","0.8","0.84","0.82","0.87","0.88","0.86","0.85","0.94","0.92","0.89","0.94","0.88","0.9","0.89","0.91","0.9","0.85","0.81","0.82","0.84","0.78","0.86","0.87","0.93","0.96","1.04","1.13","1.24","1.12","1.12","1.12","1.13","0.96","1.06","1.02","0.89","0.97","1.01","1.01","0.98","1.02","1.01","1.01","1","1.01","1.03","1.02","0.97","0.96","0.9","0.91","0.93","1.02","1.04","1.02","1.03","1.05","1.13","1.16","1.03","1.1","1.2","1.14","1.1","1.06","1.21","1.24","1.23","1.28","1.25"
