"","1 Y 2013-06-11 to 2016-06-12","1 Y 2013-07-11 to 2016-07-12","1 Y 2013-08-12 to 2016-08-12","1 Y 2013-09-11 to 2016-09-12","1 Y 2013-10-11 to 2016-10-12","1 Y 2013-11-11 to 2016-11-12","1 Y 2013-12-11 to 2016-12-12","1 Y 2014-01-13 to 2017-01-12","1 Y 2014-02-11 to 2017-02-12","1 Y 2014-03-11 to 2017-03-12","1 Y 2014-04-11 to 2017-04-12","1 Y 2014-05-12 to 2017-05-12","1 Y 2014-06-11 to 2017-06-12","1 Y 2014-07-11 to 2017-07-12","1 Y 2014-08-11 to 2017-08-12","1 Y 2014-09-11 to 2017-09-12","1 Y 2014-10-13 to 2017-10-12","1 Y 2014-11-11 to 2017-11-12","1 Y 2014-12-11 to 2017-12-12","1 Y 2015-01-12 to 2018-01-12","1 Y 2015-02-11 to 2018-02-12","1 Y 2015-03-11 to 2018-03-12","1 Y 2015-04-13 to 2018-04-12","1 Y 2015-05-11 to 2018-05-12","1 Y 2015-06-11 to 2018-06-12","1 Y 2015-07-13 to 2018-07-12","1 Y 2015-08-11 to 2018-08-12","1 Y 2015-09-11 to 2018-09-12","1 Y 2015-10-12 to 2018-10-12","1 Y 2015-11-11 to 2018-11-12","1 Y 2015-12-11 to 2018-12-12","1 Y 2016-01-11 to 2019-01-12","1 Y 2016-02-11 to 2019-02-12","1 Y 2016-03-11 to 2019-03-12","1 Y 2016-04-11 to 2019-04-12","1 Y 2016-05-11 to 2019-05-12","1 Y 2016-06-13 to 2019-06-12","1 Y 2016-07-11 to 2019-07-12","1 Y 2016-08-11 to 2019-08-12","1 Y 2016-09-12 to 2019-09-12","1 Y 2016-10-11 to 2019-10-12","1 Y 2016-11-11 to 2019-11-12","1 Y 2016-12-12 to 2019-12-12","1 Y 2017-01-11 to 2020-01-12","1 Y 2017-02-13 to 2020-02-12","1 Y 2017-03-13 to 2020-03-12","1 Y 2017-04-11 to 2020-04-12","1 Y 2017-05-11 to 2020-05-12","1 Y 2017-06-12 to 2020-06-12","1 Y 2017-07-11 to 2020-07-12","1 Y 2017-08-11 to 2020-08-12","1 Y 2017-09-11 to 2020-09-12","1 Y 2017-10-11 to 2020-10-12","1 Y 2017-11-13 to 2020-11-12","1 Y 2017-12-11 to 2020-12-12","1 Y 2018-01-11 to 2021-01-12","1 Y 2018-02-12 to 2021-02-12","1 Y 2018-03-12 to 2021-03-12","1 Y 2018-04-11 to 2021-04-12","1 Y 2018-05-11 to 2021-05-12","1 Y 2018-06-11 to 2021-06-12","1 Y 2018-07-11 to 2021-07-12","1 Y 2018-08-13 to 2021-08-12","1 Y 2018-09-11 to 2021-09-12","1 Y 2018-10-11 to 2021-10-12","2 Y 2013-06-11 to 2016-06-12","2 Y 2013-07-11 to 2016-07-12","2 Y 2013-08-12 to 2016-08-12","2 Y 2013-09-11 to 2016-09-12","2 Y 2013-10-11 to 2016-10-12","2 Y 2013-11-11 to 2016-11-12","2 Y 2013-12-11 to 2016-12-12","2 Y 2014-01-13 to 2017-01-12","2 Y 2014-02-11 to 2017-02-12","2 Y 2014-03-11 to 2017-03-12","2 Y 2014-04-11 to 2017-04-12","2 Y 2014-05-12 to 2017-05-12","2 Y 2014-06-11 to 2017-06-12","2 Y 2014-07-11 to 2017-07-12","2 Y 2014-08-11 to 2017-08-12","2 Y 2014-09-11 to 2017-09-12","2 Y 2014-10-13 to 2017-10-12","2 Y 2014-11-11 to 2017-11-12","2 Y 2014-12-11 to 2017-12-12","2 Y 2015-01-12 to 2018-01-12","2 Y 2015-02-11 to 2018-02-12","2 Y 2015-03-11 to 2018-03-12","2 Y 2015-04-13 to 2018-04-12","2 Y 2015-05-11 to 2018-05-12","2 Y 2015-06-11 to 2018-06-12","2 Y 2015-07-13 to 2018-07-12","2 Y 2015-08-11 to 2018-08-12","2 Y 2015-09-11 to 2018-09-12","2 Y 2015-10-12 to 2018-10-12","2 Y 2015-11-11 to 2018-11-12","2 Y 2015-12-11 to 2018-12-12","2 Y 2016-01-11 to 2019-01-12","2 Y 2016-02-11 to 2019-02-12","2 Y 2016-03-11 to 2019-03-12","2 Y 2016-04-11 to 2019-04-12","2 Y 2016-05-11 to 2019-05-12","2 Y 2016-06-13 to 2019-06-12","2 Y 2016-07-11 to 2019-07-12","2 Y 2016-08-11 to 2019-08-12","2 Y 2016-09-12 to 2019-09-12","2 Y 2016-10-11 to 2019-10-12","2 Y 2016-11-11 to 2019-11-12","2 Y 2016-12-12 to 2019-12-12","2 Y 2017-01-11 to 2020-01-12","2 Y 2017-02-13 to 2020-02-12","2 Y 2017-03-13 to 2020-03-12","2 Y 2017-04-11 to 2020-04-12","2 Y 2017-05-11 to 2020-05-12","2 Y 2017-06-12 to 2020-06-12","2 Y 2017-07-11 to 2020-07-12","2 Y 2017-08-11 to 2020-08-12","2 Y 2017-09-11 to 2020-09-12","2 Y 2017-10-11 to 2020-10-12","2 Y 2017-11-13 to 2020-11-12","2 Y 2017-12-11 to 2020-12-12","2 Y 2018-01-11 to 2021-01-12","2 Y 2018-02-12 to 2021-02-12","2 Y 2018-03-12 to 2021-03-12","2 Y 2018-04-11 to 2021-04-12","2 Y 2018-05-11 to 2021-05-12","2 Y 2018-06-11 to 2021-06-12","2 Y 2018-07-11 to 2021-07-12","2 Y 2018-08-13 to 2021-08-12","2 Y 2018-09-11 to 2021-09-12","2 Y 2018-10-11 to 2021-10-12","3 Y 2013-06-11 to 2016-06-12","3 Y 2013-07-11 to 2016-07-12","3 Y 2013-08-12 to 2016-08-12","3 Y 2013-09-11 to 2016-09-12","3 Y 2013-10-11 to 2016-10-12","3 Y 2013-11-11 to 2016-11-12","3 Y 2013-12-11 to 2016-12-12","3 Y 2014-01-13 to 2017-01-12","3 Y 2014-02-11 to 2017-02-12","3 Y 2014-03-11 to 2017-03-12","3 Y 2014-04-11 to 2017-04-12","3 Y 2014-05-12 to 2017-05-12","3 Y 2014-06-11 to 2017-06-12","3 Y 2014-07-11 to 2017-07-12","3 Y 2014-08-11 to 2017-08-12","3 Y 2014-09-11 to 2017-09-12","3 Y 2014-10-13 to 2017-10-12","3 Y 2014-11-11 to 2017-11-12","3 Y 2014-12-11 to 2017-12-12","3 Y 2015-01-12 to 2018-01-12","3 Y 2015-02-11 to 2018-02-12","3 Y 2015-03-11 to 2018-03-12","3 Y 2015-04-13 to 2018-04-12","3 Y 2015-05-11 to 2018-05-12","3 Y 2015-06-11 to 2018-06-12","3 Y 2015-07-13 to 2018-07-12","3 Y 2015-08-11 to 2018-08-12","3 Y 2015-09-11 to 2018-09-12","3 Y 2015-10-12 to 2018-10-12","3 Y 2015-11-11 to 2018-11-12","3 Y 2015-12-11 to 2018-12-12","3 Y 2016-01-11 to 2019-01-12","3 Y 2016-02-11 to 2019-02-12","3 Y 2016-03-11 to 2019-03-12","3 Y 2016-04-11 to 2019-04-12","3 Y 2016-05-11 to 2019-05-12","3 Y 2016-06-13 to 2019-06-12","3 Y 2016-07-11 to 2019-07-12","3 Y 2016-08-11 to 2019-08-12","3 Y 2016-09-12 to 2019-09-12","3 Y 2016-10-11 to 2019-10-12","3 Y 2016-11-11 to 2019-11-12","3 Y 2016-12-12 to 2019-12-12","3 Y 2017-01-11 to 2020-01-12","3 Y 2017-02-13 to 2020-02-12","3 Y 2017-03-13 to 2020-03-12","3 Y 2017-04-11 to 2020-04-12","3 Y 2017-05-11 to 2020-05-12","3 Y 2017-06-12 to 2020-06-12","3 Y 2017-07-11 to 2020-07-12","3 Y 2017-08-11 to 2020-08-12","3 Y 2017-09-11 to 2020-09-12","3 Y 2017-10-11 to 2020-10-12","3 Y 2017-11-13 to 2020-11-12","3 Y 2017-12-11 to 2020-12-12","3 Y 2018-01-11 to 2021-01-12","3 Y 2018-02-12 to 2021-02-12","3 Y 2018-03-12 to 2021-03-12","3 Y 2018-04-11 to 2021-04-12","3 Y 2018-05-11 to 2021-05-12","3 Y 2018-06-11 to 2021-06-12","3 Y 2018-07-11 to 2021-07-12","3 Y 2018-08-13 to 2021-08-12","3 Y 2018-09-11 to 2021-09-12","3 Y 2018-10-11 to 2021-10-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.614","9.587","10.561","14.039","11.412","11.481","17.986","27.688","36.553","26.192","14.066","19.75","16.843","10.806","10.389","23.494","20.839","28.636","25.506","31.923","25.339","18.436","17.961","22.388","20.154","15.977","15.191","16.476","1.785","4.782","1.215","-5.01","8.01","1.983","9.605","8.488","3.452","9.366","4.253","3.015","8.781","12.611","17.897","22.025","20.082","-10.877","-3.834","-1.197","0.296","2.714","10.923","5.634","25.635","12.14","16.042","31.868","11.705","54.972","45.814","55.591","53.604","48.098","39.454","32.612","35.99","10.422","10.993","12.497","8.543","12.061","7.147","9.553","10.066","10.543","12.203","8.011","10.466","9.021","8.071","8.474","19.007","13.521","17.865","21.014","29.145","29.726","19.989","17.473","22.26","22.249","19.256","17.762","20.161","11.012","11.93","9.457","6.588","12.593","11.989","11.935","12.793","10.438","12.136","9.914","9.487","8.026","10.484","10.125","9.776","13.567","-3.252","3.477","1.486","3.252","6.823","7.728","5.784","16.849","12.188","17.153","28.44","13.957","15.627","15.965","25.906","24.44","23.151","25.252","18.891","20.895","13.968","12.986","13.603","12.651","11.866","10.879","11.385","11.543","12.401","12.419","10.899","10.896","9.556","8.125","9.876","12.538","12.973","15.519","14.844","17.293","17.018","13.477","12.588","15.405","15.557","15.028","14.817","18.478","8.946","10.389","10.075","10.165","16.902","14.134","11.816","13.849","11.998","12.109","11.156","13.006","12.85","14.178","13.489","14.823","14.583","3.591","6.759","5.759","5.828","8.376","8.747","7.608","12.883","9.498","11.271","15.322","9.865","11.225","13.102","18.257","16.607","18.086","17.724","15.117","18.031"
"B Annualized Returns","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","30.588","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","14.134","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.725","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.564","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.777","25.777","8.113","8.087","8.408","8.238","7.656","6.688","7.98","7.502","8.201","8.639","8.558","7.909","7.696","7.06","7.978","7.688","10.206","8.004","10.033","11.403","8.386","10.841","8.575","9.169","9.906","10.095","11.014","14.183","11.629","10.293","9.156","9.928","12.976","11.194","11.851","11.683","11.39","11.895","9.599","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.765","9.041","11.51","12.65","12.006","13.292","12.553","12.464","11.897","15.216","13.617","17.248","15.292","16.395","17.663","17.821","17.718","20.396"
"AR DIFF(P-B)","7.799","6.806","5.204","2.788","4.338","6.627","7.769","8.626","13.724","6.774","0.704000000000001","4.373","0.343","-2.336","-1.406","8.138","2.366","9.895","7.053","9.08","10.78","1.94","5.15","8.873","5.868","1.225","-1.068","0.483999999999998","-7.87","-1.439","1.592","1.228","5.462","1.549","0.184000000000001","1.978","-0.366","1.46","2.503","-1.092","0.424000000000001","-1.174","-2.217","-5.17","-5.8","-1.332","-3.678","-7.582","-8.941","-8.988","-9.809","-10.728","0.990000000000002","-5.829","-2.832","14.416","-7.452","-4.079","-2.936","16.392","13.453","10.706","8.388","2.024","5.402","6.691","6.854","6.818","4.49","5.77","4.21","3.498","3.977","4.694","3.717","1.494","3.428","1.238","0.234","-0.0239999999999991","5.72","0.892000000000001","6.948","6.747","8.207","11.153","2.999","4.387","7.773","6.863","5.312","3.628","4.487","-2.966","-0.471","0.826000000000001","-0.25","4.214","3.833","0.832000000000001","3.068","1.512","0.859","1.474","-0.401999999999999","0.0659999999999998","0.541","0.734999999999999","0.212","-0.0510000000000002","0.721","-1.18","-3.426","-3.66","-3.312","-3.982","-4.28","1.659","-3.797","-2.339","5.422","-8.177","-4.319","-5.202","4.215","1.197","0.257999999999999","-0.541","-6.886","-4.882","5.855","4.899","5.195","4.413","4.21","4.191","3.405","4.041","4.2","3.78","2.341","2.987","1.86","1.065","1.898","4.85","2.767","7.515","4.811","5.89","8.632","2.636","4.013","6.236","5.651","4.933","3.803","4.295","-2.683","0.0960000000000001","0.918999999999999","0.236999999999998","3.926","2.94","-0.0350000000000001","2.166","0.607999999999999","0.214","1.557","1.324","1.344","1.318","1.158","1.573","0.653","1.449","-0.148","-2.006","-3.213","-3.134","-3.903","-4.398","-0.409000000000001","-3.055","-1.193","3.425","-5.351","-2.392","-4.146","2.965","0.212","0.422999999999998","-0.0970000000000013","-2.601","-2.365"
"P Volatility","14.73","14.39","14.07","14.42","10.72","11.15","12.03","9.71","8.63","6.5","5.62","4.61","5.2","5.45","5.72","6.1","3.67","5.53","4.54","5.05","9.63","8.39","9.77","11.65","11.97","12.15","11.37","11.15","9.52","11.56","10.78","13.35","15.94","16.88","16.01","15.91","18.07","18.12","18.24","18.94","16.21","16.48","12.97","11.71","11.44","13.93","17.71","21.42","20.73","20.71","20.16","22.38","25.08","24.5","25.41","29.59","23.77","17.19","14.98","18.7","18.65","18.16","15.98","12.51","12.66","12.06","12.22","12.94","13.52","12.6","12.77","13.29","12.6","12.15","11.65","11.58","11.28","11.49","10.39","9.32","9.54","7.64","8.72","8.14","6.68","8.2","7","8","9.53","9.74","9.62","8.88","8.56","7.69","8.89","8","10.9","12.39","13.46","12.61","12.85","14.07","14.08","14.41","14.72","13.73","14.45","14.06","13.55","13.41","14.57","16.52","18.54","18.85","18.71","18.51","19.52","20.42","20.3","19.4","21.8","19.65","19.38","19.91","20.79","20.67","21.11","20.36","17.91","17.85","11.39","11.38","11.79","12.11","11.3","11.32","11.72","11.58","11.23","10.89","10.62","10.55","10.62","9.59","9.62","10.02","9.52","10.37","10.35","10.43","10.76","10.22","11.03","11.9","11.9","11.76","10.18","9.92","8.95","9.49","8.73","9.79","11.14","11.33","10.83","10.9","11.86","11.71","12.02","12.2","11.44","11.99","11.64","11.68","11.73","12.76","14.3","15.71","15.98","16.04","15.92","16.55","17.47","17.52","17.92","19.99","17.93","17.47","17.92","19.1","19.46","19.67","19.52","17.69","17.33"
"B Volatility","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.08","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37","18.37","11.91","11.66","11.55","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.44","-1.58","-0.65","0.369999999999999","0.950000000000001","1.24","2.06","1.74","1.09","0.33","-0.61","-1.63","-0.93","-0.0699999999999994","0.27","0.79","-0.59","1.38","0.28","0.79","4.06","0.41","0.219999999999999","2.08","2.28","2.51","1.23","0.700000000000001","-0.91","-1.48","-2.27","-1.45","-0.520000000000001","0.809999999999999","-0.149999999999999","-0.59","-0.379999999999999","-1.22","-0.810000000000002","-0.25","-1.38","-1.2","-0.49","-0.639999999999999","-0.960000000000001","-2.25","-1.43","-0.799999999999997","-0.780000000000001","-0.879999999999999","-1.65","-0.740000000000002","0.84","-0.120000000000001","-0.949999999999999","3.18","-0.120000000000001","-1.74","-0.889999999999999","2.61","2.3","2.09","1.65","0.43","0.58","-0.869999999999999","-0.69","0.0199999999999996","0.629999999999999","-0.27","-0.0800000000000001","0.319999999999999","0.139999999999999","0.27","-0.31","-0.369999999999999","-0.67","-0.299999999999999","-1.33","-1.3","-0.630000000000001","-0.0600000000000005","1.04","0.61","0.569999999999999","1.59","0.13","0.29","1.8","1.98","2.09","1.1","0.65","0.0500000000000007","-0.619999999999999","-1.46","-1.01","-0.149999999999999","0.850000000000001","-0.0500000000000007","-0.0600000000000005","-0.0399999999999991","-0.69","-0.359999999999999","-0.17","-1.14","-0.41","-0.949999999999999","-1.1","-0.81","-0.85","-0.84","-0.98","-0.799999999999997","-0.849999999999998","-1.24","-1.07","0.170000000000002","-0.23","-0.600000000000001","2.11","-0.100000000000001","-0.359999999999999","0.18","1.96","2.13","2.55","2.01","-0.460000000000001","-0.52","-0.52","-0.279999999999999","0.239999999999998","0.58","0.0100000000000016","0.0500000000000007","0.42","0.59","0.370000000000001","-0.16","-0.440000000000001","-0.479999999999999","-0.4","-1.4","-1.27","-0.83","-1.33","-0.48","-0.56","0.0399999999999991","0.35","-0.389999999999999","0.0999999999999996","0.970000000000001","1.04","0.949999999999999","0.00999999999999979","-0.0400000000000009","0.5","-0.00999999999999979","-0.66","-0.790000000000001","0.00999999999999979","0.6","0.0800000000000001","-0.0299999999999994","-0.00999999999999979","-0.559999999999999","-0.23","-0.15","-0.83","-0.279999999999999","-0.699999999999999","-0.720000000000001","-0.539999999999999","-0.69","-0.629999999999999","-0.859999999999999","-0.68","-0.640000000000001","-0.970000000000001","-0.960000000000001","-0.380000000000003","-0.48","-0.859999999999999","1.35","-0.5","-0.720000000000002","-0.329999999999998","0.700000000000003","1.05","1.29","1.18","-0.68","-0.640000000000001"
"P Tracking Error","2.97","3.31","3.83","3.42","2.1","2.74","4.27","3.83","2.77","1.77","1.8","2.2","2.02","1.54","1.43","4.49","1.53","4.13","4.25","4.35","5.67","1.5","2.27","4.36","4.14","4.74","3","3.01","2.65","3.32","5.07","5.02","2.85","3.43","3.27","3.5","3.09","3.81","3.18","3.4","3.92","3.11","1.94","2.83","2.38","3.35","2.76","2.36","3.6","3.23","3.13","2.62","2.99","5.06","4.59","5.21","5.71","4.98","4.94","5.37","4.99","6.38","5.76","5.23","5.18","3.43","3.71","3.39","3.33","3","2.85","3.61","4","2.99","2.33","2.9","2.32","1.96","2.63","2.59","3.76","1.88","3.2","3.07","3.18","4.23","1.82","2.13","4.18","4.04","4.18","3.22","3.01","2.93","2.6","3.63","3.66","2.31","2.9","2.45","2.65","2.45","2.86","2.72","2.91","3.1","3.05","2.26","2.96","3.32","3.69","3.29","3.54","3.9","3.88","4.13","3.96","2.7","3.86","3.57","4.25","4.22","4.39","4.34","4.81","4.97","5.84","5.1","5.83","6","3.18","3.44","3.35","3.31","3.05","2.83","3.37","3.78","2.95","2.83","3.08","2.44","2.22","3.04","2.84","3.42","3.06","3.48","3.3","3.32","4.1","2.32","2.55","3.7","3.64","3.63","3.42","3.07","3.1","2.45","3.26","3.31","2.52","2.65","2.36","2.57","2.3","2.49","2.28","2.59","2.69","2.76","2.12","2.61","2.85","3.09","2.91","3.2","3.45","3.4","3.73","3.77","2.92","3.57","3.24","3.9","4.1","3.98","4.06","4.54","4.73","5.39","4.61","5.21","5.28"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","2.63","2.06","1.36","0.82","2.07","2.42","1.82","2.25","4.95","3.83","0.39","1.99","0.17","-1.52","-0.98","1.81","1.55","2.4","1.66","2.09","1.9","1.29","2.27","2.04","1.42","0.26","-0.36","0.16","-2.97","-0.43","0.31","0.24","1.92","0.45","0.06","0.57","-0.12","0.38","0.79","-0.32","0.11","-0.38","-1.14","-1.83","-2.44","-0.4","-1.33","-3.21","-2.48","-2.78","-3.13","-4.09","0.33","-1.15","-0.62","2.77","-1.31","-0.82","-0.59","3.05","2.7","1.68","1.46","0.39","1.04","1.95","1.85","2.01","1.35","1.92","1.48","0.97","0.99","1.57","1.6","0.52","1.48","0.63","0.09","-0.01","1.52","0.47","2.17","2.2","2.58","2.64","1.65","2.06","1.86","1.7","1.27","1.13","1.49","-1.01","-0.18","0.23","-0.07","1.82","1.32","0.34","1.16","0.62","0.3","0.54","-0.14","0.02","0.18","0.33","0.07","-0.02","0.2","-0.36","-0.97","-0.94","-0.85","-0.96","-1.08","0.61","-0.98","-0.66","1.28","-1.94","-0.98","-1.2","0.88","0.24","0.04","-0.11","-1.18","-0.81","1.84","1.42","1.55","1.33","1.38","1.48","1.01","1.07","1.42","1.34","0.76","1.22","0.84","0.35","0.67","1.42","0.9","2.16","1.46","1.77","2.11","1.14","1.57","1.69","1.55","1.36","1.11","1.4","-0.87","0.04","0.28","0.07","1.56","1.11","-0.01","0.84","0.26","0.09","0.68","0.51","0.5","0.48","0.55","0.6","0.23","0.47","-0.05","-0.63","-0.93","-0.92","-1.05","-1.17","-0.14","-0.86","-0.37","0.88","-1.31","-0.6","-1.02","0.65","0.04","0.08","-0.02","-0.5","-0.45"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
