"","2013-12-11_to_2016-12-12_ALLPortfolio_4QRank","2014-01-13_to_2017-01-12_ALLPortfolio_4QRank","2014-02-11_to_2017-02-12_ALLPortfolio_4QRank","2014-03-11_to_2017-03-12_ALLPortfolio_4QRank","2014-04-11_to_2017-04-12_ALLPortfolio_4QRank","2014-05-12_to_2017-05-12_ALLPortfolio_4QRank","2014-06-11_to_2017-06-12_ALLPortfolio_4QRank","2014-07-11_to_2017-07-12_ALLPortfolio_4QRank","2014-08-11_to_2017-08-12_ALLPortfolio_4QRank","2014-09-11_to_2017-09-12_ALLPortfolio_4QRank","2014-10-13_to_2017-10-12_ALLPortfolio_4QRank","2014-11-11_to_2017-11-12_ALLPortfolio_4QRank","2014-12-11_to_2017-12-12_ALLPortfolio_4QRank","2015-01-12_to_2018-01-12_ALLPortfolio_4QRank","2015-02-11_to_2018-02-12_ALLPortfolio_4QRank","2015-03-11_to_2018-03-12_ALLPortfolio_4QRank","2015-04-13_to_2018-04-12_ALLPortfolio_4QRank","2015-05-11_to_2018-05-12_ALLPortfolio_4QRank","2015-06-11_to_2018-06-12_ALLPortfolio_4QRank","2015-07-13_to_2018-07-12_ALLPortfolio_4QRank","2015-08-11_to_2018-08-12_ALLPortfolio_4QRank","2015-09-11_to_2018-09-12_ALLPortfolio_4QRank","2015-10-12_to_2018-10-12_ALLPortfolio_4QRank","2015-11-11_to_2018-11-12_ALLPortfolio_4QRank","2015-12-11_to_2018-12-12_ALLPortfolio_4QRank","2016-01-11_to_2019-01-12_ALLPortfolio_4QRank","2016-02-11_to_2019-02-12_ALLPortfolio_4QRank","2016-03-11_to_2019-03-12_ALLPortfolio_4QRank","2016-04-11_to_2019-04-12_ALLPortfolio_4QRank","2016-05-11_to_2019-05-12_ALLPortfolio_4QRank","2016-06-13_to_2019-06-12_ALLPortfolio_4QRank","2016-07-11_to_2019-07-12_ALLPortfolio_4QRank","2016-08-11_to_2019-08-12_ALLPortfolio_4QRank","2016-09-12_to_2019-09-12_ALLPortfolio_4QRank","2016-10-11_to_2019-10-12_ALLPortfolio_4QRank","2016-11-11_to_2019-11-12_ALLPortfolio_4QRank","2016-12-12_to_2019-12-12_ALLPortfolio_4QRank","2017-01-11_to_2020-01-12_ALLPortfolio_4QRank","2017-02-13_to_2020-02-12_ALLPortfolio_4QRank","2017-03-13_to_2020-03-12_ALLPortfolio_4QRank","2017-04-11_to_2020-04-12_ALLPortfolio_4QRank","2017-05-11_to_2020-05-12_ALLPortfolio_4QRank","2017-06-12_to_2020-06-12_ALLPortfolio_4QRank","2017-07-11_to_2020-07-12_ALLPortfolio_4QRank","2017-08-11_to_2020-08-12_ALLPortfolio_4QRank","2017-09-11_to_2020-09-12_ALLPortfolio_4QRank","2017-10-11_to_2020-10-12_ALLPortfolio_4QRank","2017-11-13_to_2020-11-12_ALLPortfolio_4QRank","2017-12-11_to_2020-12-12_ALLPortfolio_4QRank","2018-01-11_to_2021-01-12_ALLPortfolio_4QRank","2018-02-12_to_2021-02-12_ALLPortfolio_4QRank","2018-03-12_to_2021-03-12_ALLPortfolio_4QRank","2018-04-11_to_2021-04-12_ALLPortfolio_4QRank","2018-05-11_to_2021-05-12_ALLPortfolio_4QRank","2018-06-11_to_2021-06-12_ALLPortfolio_4QRank","2018-07-11_to_2021-07-12_ALLPortfolio_4QRank","2018-08-13_to_2021-08-12_ALLPortfolio_4QRank","2018-09-11_to_2021-09-12_ALLPortfolio_4QRank","2018-10-11_to_2021-10-12_ALLPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.676","11.596","12.005","12.618","14.052","12.646","15.684","11.884","14.549","11.307","14.78","11.866","17.996","17.661","15.411","16.025","10.607","11.168","12.669","12.887","12.902","15.811","17.869","16.274","13.754","15.254","20.643","15.89","17.137","16.222","14.759","13.871","12.577","13.57","14.841","13.308","12.983","12.835","13.487","2.48","7.134","7.566","9.594","11.465","13.744","13.253","12.594","14.247","17.064","17.448","14.99","16.413","16.723","18.753","19.606","16.757","17.444","22.653","25.814"
"B Annualized Returns","7.473","7.578","8.098","8.544","8.655","7.97","7.617","6.829","7.876","7.371","10.341","8.065","9.282","11.044","7.849","10.471","8.266","8.966","9.593","9.718","11.306","14.186","10.832","10.473","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","4.203","4.018","3.907","4.074","5.397","4.676","8.067","5.055","6.673","3.936","4.439","3.801","8.714","6.617","7.562","5.554","2.341","2.202","3.076","3.169","1.596","1.625","7.037","5.801","4.774","5.018","7.952","4.707","5.151","4.641","3.265","1.923","2.3","1.992","3.703","0.32","0.952","-0.542","-0.218","-3.052","0.220000000000001","-0.87","0.851999999999999","0.346","1.678","1.068","0.529999999999999","1.359","4.47","5.242","-0.186","3.037","-0.484000000000002","2.64","3.23","-0.875999999999998","-0.204000000000001","4.88","5.351"
"P Volatility","11.17","11.04","10.39","10.49","10.82","10.59","11.5","11.23","11.4","11.04","11.22","10.78","11.39","11","11.96","12.16","11.07","10.74","11.08","11.27","9.53","9.6","9.82","11.01","11.04","12.03","13.45","12.9","12.91","12.57","13.36","13.29","13.89","13.15","13.01","12.54","12.25","12.33","12.16","13.2","16.31","18.06","19.37","18.99","19.27","20.32","20.51","20.67","22.41","22.24","19.34","20.44","19.26","20.67","20.32","19.66","19.74","22.51","22.55"
"B Volatility","11.47","11.28","11.23","11.41","11.41","11.39","11.38","11.35","11.25","11.23","11.23","11.15","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","-0.300000000000001","-0.24","-0.84","-0.92","-0.59","-0.800000000000001","0.119999999999999","-0.119999999999999","0.15","-0.190000000000001","-0.00999999999999979","-0.370000000000001","0.18","0.0899999999999999","0.99","1.05","-0.35","-0.67","-0.199999999999999","0.0599999999999987","-0.98","-0.710000000000001","0.960000000000001","1.12","1.25","1.87","2.67","2.54","2.54","1.93","2.07","1.86","2.46","1.65","1.54","1.08","0.699999999999999","0.74","0.699999999999999","0.19","1.64","1.73","2.97","2.53","2.7","2.9","2.76","2.87","4.08","4.01","1.36","2.68","1.46","2.66","2.28","1.66","1.76","4.52","4.99"
"P Tracking Error","5.9","5.71","5.71","5.49","5.45","5.55","5.87","5.55","5.99","5.35","5.1","5.17","5.76","5.05","5.66","5.29","4.93","5.36","4.94","5.11","4.97","4.13","4.76","4.6","4.5","4.76","5.43","5.02","5.11","4.62","4.48","4.16","5.35","4.61","5.08","4.45","4.52","4.35","4.5","4.96","5.61","5.4","6.68","6.64","6.41","6.41","6.67","6.62","7.7","7.63","5.95","6.51","6.05","7.49","7.35","6.89","7.21","8.41","8.42"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.71","0.7","0.68","0.74","0.99","0.84","1.37","0.91","1.11","0.74","0.87","0.74","1.51","1.31","1.34","1.05","0.47","0.41","0.62","0.62","0.32","0.39","1.48","1.26","1.06","1.05","1.46","0.94","1.01","1","0.73","0.46","0.43","0.43","0.73","0.07","0.21","-0.12","-0.05","-0.62","0.04","-0.16","0.13","0.05","0.26","0.17","0.08","0.21","0.58","0.69","-0.03","0.47","-0.08","0.35","0.44","-0.13","-0.03","0.58","0.64"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.35","0.39","0.37","0.51","0.58","0.44","0.66","0.41","0.61","0.42","0.38","0.38","0.74","0.49","0.57","0.4","0.23","0.3","0.3","0.33","0.44","0.28","0.62","0.42","0.37","0.25","0.28","0.24","0.26","0.2","0.12","0.07","0.05","0.01","0.18","0.04","0.07","-0.02","-0.09","0.08","-0.13","-0.17","0.02","-0.08","0.01","0.02","-0.03","0.06","0.28","0.25","-0.04","0.12","0.01","0.12","0.19","0","-0.02","0.18","0.1"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.84","0.85","0.8","0.81","0.84","0.81","0.88","0.87","0.87","0.87","0.9","0.86","0.88","0.9","0.96","0.99","0.88","0.83","0.89","0.9","0.8","0.85","0.97","1.01","1.03","1.09","1.15","1.16","1.15","1.1","1.12","1.11","1.13","1.07","1.05","1.02","0.99","1","0.99","0.94","1.04","1.06","1.11","1.08","1.1","1.11","1.1","1.11","1.16","1.16","1.02","1.1","1.03","1.07","1.05","1.02","1.02","1.17","1.21"
